12219	Wyatt_Cooperyan [233588]	TAKE	188580	Carbine Rifle (LSPD5373)	1	24.01.2023, 23:36:30
12218	Tommy_Yanozzo [427798]	GIVE	134476	Carbine Rifle (LSPD4124)	1	24.01.2023, 23:36:06
12217	Tommy_Yanozzo [427798]	TAKE	240374	Carbine Rifle (LSPD4124)	1	24.01.2023, 23:36:03
12216	Stint_Vorontsov [300873]	GIVE	137331	Service Carbine (LSPD5521)	1	24.01.2023, 23:36:02
12215	Tommy_Yanozzo [427798]	TAKE	240374	Carbine Rifle (LSPD8091)	1	24.01.2023, 23:35:57
12214	Ryan_Mercury [157470]	GIVE	240729	Carbine Rifle (LSPD4520)	1	24.01.2023, 23:35:07
12213	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD8067)	1	24.01.2023, 23:34:33
12212	Volodya_Bromsky [440658]	GIVE	236196	Carbine Rifle (LSPD9286)	1	24.01.2023, 23:34:24
12211	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD8067)	1	24.01.2023, 23:34:17
12210	Storm_Spaggett [448840]	TAKE	242230	Carbine Rifle (LSPD6801)	1	24.01.2023, 23:34:16
12209	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD5527)	1	24.01.2023, 23:34:11
12208	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD5527)	1	24.01.2023, 23:33:54
12207	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:33:50
12206	Artem_Ham [417686]	TAKE	243866	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:33:47
12205	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:33:43
12204	Vlad_Yarmoshko [448861]	GIVE	243383	Carbine Rifle (LSPD8934)	1	24.01.2023, 23:33:35
12203	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:33:27
12202	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD7961)	1	24.01.2023, 23:33:20
12201	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD9625)	1	24.01.2023, 23:33:20
12200	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD7961)	1	24.01.2023, 23:32:58
12199	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD9625)	1	24.01.2023, 23:32:58
12198	Volodya_Bromsky [440658]	TAKE	233473	Carbine Rifle (LSPD9286)	1	24.01.2023, 23:32:55
12197	Artem_Ham [417686]	GIVE	243866	Carbine Rifle (LSPD8175)	1	24.01.2023, 23:32:53
12196	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD8175)	1	24.01.2023, 23:32:14
12195	Danila_Nedovolny [13946]	GIVE	113537	Carbine Rifle (LSPD8839)	1	24.01.2023, 23:32:06
12194	Jesse_Lewis [13945]	GIVE	113537	Carbine Rifle (LSPD3630)	1	24.01.2023, 23:31:33
12193	Zohan_OldGhost [263668]	GIVE	243011	Carbine Rifle (LSPD3845)	1	24.01.2023, 23:30:40
12192	Zohan_OldGhost [263668]	TAKE	190812	Carbine Rifle (LSPD3845)	1	24.01.2023, 23:30:34
12191	Zohan_OldGhost [263668]	GIVE	243011	Carbine Rifle (LSPD6029)	1	24.01.2023, 23:30:07
12190	Zohan_OldGhost [263668]	GIVE	243011	Carbine Rifle (LSPD1589)	1	24.01.2023, 23:30:07
12189	Zohan_OldGhost [263668]	TAKE	190812	Carbine Rifle (LSPD1589)	1	24.01.2023, 23:30:01
12188	Zohan_OldGhost [263668]	TAKE	190812	Carbine Rifle (LSPD6029)	1	24.01.2023, 23:29:58
12187	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	24.01.2023, 23:25:56
12186	Mozzie_Essence [155370]	GIVE	179289	Тазер (LSPD3705)	1	24.01.2023, 23:25:54
12185	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD4712)	1	24.01.2023, 23:24:47
12184	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD8536)	1	24.01.2023, 23:24:46
12183	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD7296)	1	24.01.2023, 23:24:45
12182	Artem_Ham [417686]	TAKE	206256	Carbine Rifle (LSPD5771)	1	24.01.2023, 23:24:00
12181	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	24.01.2023, 23:23:58
12180	Tomas_Myasnikov [415786]	GIVE	192025	Service Carbine (LSPD1368)	1	24.01.2023, 23:22:32
12179	Tomas_Myasnikov [415786]	TAKE	240824	Service Carbine (LSPD1368)	1	24.01.2023, 23:22:23
12178	Easy_Rose [404391]	GIVE	206256	Carbine Rifle (LSPD8067)	1	24.01.2023, 23:21:44
12177	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD8067)	1	24.01.2023, 23:21:37
12176	Easy_Rose [404391]	GIVE	206256	Carbine Rifle (LSPD5527)	1	24.01.2023, 23:21:32
12175	Easy_Rose [404391]	TAKE	183759	Carbine Rifle (LSPD5527)	1	24.01.2023, 23:21:27
12174	Easy_Rose [404391]	GIVE	206256	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:21:22
12173	Easy_Rose [404391]	TAKE	216690	Carbine Rifle (LSPD3347)	1	24.01.2023, 23:21:09
